score,gender,region,highest_education,imd_band,age_band,studied_credits,late_ratio,completion_ratio,homepage_mean_click_interval,homepage_std_click_interval,homepage_mean_clicks,homepage_click_variance,input_mean_click_interval,input_std_click_interval,input_mean_clicks,input_click_variance,output_mean_click_interval,output_std_click_interval,output_mean_clicks,output_click_variance,early_score,late_score,mid_score,module_presentation
group1,F,North Western Region,A Level or Equivalent,10-20,0-35,90,0.75,1.0,1.505813953488372,1.1622577998251742,4.219653179190751,1.125734055047945,4.203389830508475,5.050707226056868,10.916666666666666,4.241471697777095,2.098360655737705,2.2431155873636883,11.926829268292684,0.9967278205600298,51.666666666666664,27.5,19.0,CCC2014B
group3,M,East Midlands Region,Lower Than A Level,60-70%,0-35,30,0.5,1.0,4.754716981132075,5.40976915609216,4.333333333333333,0.8611720832690598,6.243243243243243,9.08724810259289,16.473684210526315,1.027498092367385,9.625,12.6930741128689,22.84,1.2142729239003638,47.0,66.5,60.0,CCC2014B
group1,M,South East Region,HE Qualification,90-100%,35-55,60,0.5,1.0,1.446927374301676,1.055339047857053,3.7,0.7161453871714306,2.949367088607595,3.08801958849081,6.7375,1.0781743164268236,1.6830985915492958,1.1321837200853802,23.944055944055943,1.8643759538044369,65.33333333333333,55.0,67.0,CCC2014B
group3,M,East Anglian Region,Lower Than A Level,50-60%,0-35,60,0.875,1.0,2.466666666666667,3.684861615882627,4.132075471698113,0.9455583573529368,3.4166666666666665,5.491991608786917,7.328767123287672,1.3680429888550296,3.96923076923077,6.351597315757545,31.939393939393938,1.8187333636649567,93.33333333333331,88.5,94.0,CCC2014B
group3,M,London Region,A Level or Equivalent,30-40%,0-35,90,0.6666666666666666,0.75,2.1880341880341883,1.437980048370198,2.7288135593220337,0.8286282305206146,4.183333333333334,3.67995793392808,3.377049180327869,1.2599308594411662,3.8484848484848486,3.0896473497667567,11.432835820895525,1.6439686070352593,91.5,75.5,76.0,CCC2014B
group3,M,Scotland,Post Graduate Qualification,80-90%,35-55,60,0.5,1.0,5.95,7.455681021018768,2.8536585365853657,0.9401709401709402,5.042553191489362,5.985335146653137,6.979166666666667,1.3237552314062555,11.77777777777778,16.972488311297322,21.42105263157895,0.7141640180476605,72.66666666666667,70.0,78.33333333333333,CCC2014B
group1,M,South Region,HE Qualification,40-50%,35-55,60,0.75,1.0,3.436619718309859,3.504007478653946,3.7083333333333335,1.1221901323279877,4.851063829787234,6.30382466169566,15.854166666666666,1.844288869521959,6.833333333333333,10.648241989702544,37.67741935483871,1.0634271643735482,80.66666666666667,65.0,75.33333333333333,CCC2014B
group1,F,South Region,A Level or Equivalent,10-20,0-35,120,1.0,0.5,4.046875,3.4934391455258047,2.230769230769231,0.8497044320695967,8.1,10.273333407922904,6.870967741935484,2.159889757122298,11.166666666666666,18.359962834769508,26.68421052631579,0.847189979079679,78.0,61.0,88.0,CCC2014B
group1,M,East Midlands Region,HE Qualification,90-100%,35-55,60,0.8333333333333334,0.75,6.742857142857143,6.6081182564143255,2.8055555555555554,0.791769741525733,6.892857142857143,7.0780792839022615,4.655172413793103,0.8579172150468831,14.533333333333331,14.865428092757783,19.3125,0.7683954738241919,65.33333333333333,40.5,67.0,CCC2014B
group1,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,60,0.7142857142857143,0.875,5.266666666666667,7.059487491055115,2.0217391304347827,0.8960931892473403,8.321428571428571,11.822933055369385,4.0344827586206895,0.955508155942564,11.444444444444445,15.170490791324887,16.68421052631579,1.2320378987645946,63.333333333333336,51.0,62.5,CCC2014B
group3,M,London Region,HE Qualification,0-10%,0-35,30,0.6666666666666666,0.75,2.234234234234234,1.9162223962547436,3.392857142857143,0.9197735479461154,2.752808988764045,2.642660930321095,5.266666666666667,0.83860162405326,5.239130434782608,6.64056484414356,34.808510638297875,1.1500094282521496,100.0,89.0,100.0,CCC2014B
group1,F,West Midlands Region,A Level or Equivalent,0-10%,35-55,120,0.875,1.0,4.0,4.4472213547087796,2.707692307692308,1.2838143306324283,6.078947368421052,6.999542760925167,6.564102564102564,1.021542257561759,8.444444444444445,9.625020812498311,16.714285714285715,1.0740532920219996,55.333333333333336,48.0,41.0,CCC2014B
group3,M,Scotland,A Level or Equivalent,10-20,35-55,60,0.5,1.0,2.016949152542373,2.2531385549539085,2.411764705882353,0.8757228193675265,2.38,2.7183625493106964,26.06930693069307,1.7704392232850286,3.0,3.3082388735465345,19.25675675675676,1.0562382655550089,79.66666666666667,69.0,80.0,CCC2014B
group3,M,South West Region,A Level or Equivalent,50-60%,0-35,60,0.5,1.0,8.0,10.43293601275086,3.4285714285714284,0.5855612217731332,8.307692307692308,10.6612165563569,4.444444444444445,0.7097534783289196,21.6,26.97818048390629,42.09090909090909,1.0517404970946358,90.66666666666669,88.0,90.0,CCC2014B
group1,M,West Midlands Region,Lower Than A Level,0-10%,35-55,60,1.0,0.5,2.727272727272727,3.164920048479998,6.191011235955056,0.9276905807100576,3.3194444444444446,4.420905486528046,18.95890410958904,0.9933034493331574,7.181818181818182,8.029066514291003,31.029411764705884,1.1089662568767855,74.5,85.0,75.0,CCC2014B
group3,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,120,0.5,1.0,2.86046511627907,2.3771599005717845,2.413793103448276,0.8106434833777776,4.52,4.585870046308841,3.019607843137255,0.8588137983046982,8.571428571428571,8.685571566635868,19.13793103448276,1.5878996218252517,85.66666666666667,88.0,89.33333333333333,CCC2014B
group3,M,London Region,A Level or Equivalent,10-20,0-35,30,0.5,1.0,2.0483870967741935,1.7337155865702736,3.712,1.2417122697629692,2.2777777777777777,2.045434091593508,7.2110091743119265,1.6145143437718874,3.2465753424657535,4.751551857369595,44.21621621621622,1.4638069014877295,97.33333333333331,96.5,97.0,CCC2014B
group3,M,South East Region,A Level or Equivalent,70-80%,0-35,30,0.5,1.0,2.55,2.12429429755537,2.5742574257425743,0.9037725010907396,3.5671641791044775,3.8226750929913216,6.617647058823529,1.2584372044448084,6.057142857142857,7.18226106108514,29.86111111111111,1.5095616647511678,98.66666666666669,96.0,97.33333333333331,CCC2014B
group1,F,London Region,A Level or Equivalent,30-40%,0-35,90,0.5,1.0,3.0375,2.762514677204839,2.259259259259259,0.7418825245235908,4.2631578947368425,4.9516458872259035,4.258620689655173,0.8210642102849652,10.947368421052632,19.20206494743766,24.0,0.8691271163900276,60.0,52.0,61.333333333333336,CCC2014B
group1,F,London Region,Lower Than A Level,30-40%,35-55,60,1.0,0.5,3.4166666666666665,3.721842645257365,3.6164383561643834,0.822100604015184,4.0,5.042194840896107,4.0,1.0986205956174109,7.5,10.75350784788307,26.93548387096774,1.2890756722475696,77.0,35.0,73.0,CCC2014B
group3,M,Scotland,HE Qualification,90-100%,35-55,30,0.5,1.0,1.4153005464480874,1.0441810463359182,7.7228260869565215,0.6398474981746322,1.818840579710145,1.9640398826223076,7.877697841726619,0.9286418471295568,1.579268292682927,1.5742746156926513,28.024242424242424,1.0342398716899963,99.33333333333331,98.5,97.66666666666669,CCC2014B
group3,F,East Anglian Region,HE Qualification,20-30%,0-35,90,1.0,0.625,3.3205128205128207,3.241346480450217,3.607594936708861,0.7034890840312912,4.576923076923077,4.803373625905573,4.584905660377358,0.9619071979673494,4.636363636363637,4.34342259805788,14.357142857142858,1.2557631802305134,94.0,100.0,100.0,CCC2014B
group1,M,East Midlands Region,Lower Than A Level,20-30%,0-35,120,0.625,1.0,2.7906976744186047,2.7099653962182635,2.5977011494252875,0.7530448283010553,3.5294117647058822,3.6219504444358535,5.405797101449275,1.03946104662101,5.676470588235294,5.54169095862688,25.97142857142857,1.2613921064039204,72.33333333333333,64.0,65.66666666666667,CCC2014B
group1,M,Scotland,HE Qualification,90-100%,0-35,90,0.5,1.0,4.428571428571429,6.014700605734534,2.1578947368421053,0.7606732774449474,6.621621621621622,10.990782378761638,4.552631578947368,0.8591742315652705,9.037037037037036,13.486407634473714,19.178571428571427,1.0527510964705706,60.0,60.5,73.33333333333333,CCC2014B
group1,M,West Midlands Region,A Level or Equivalent,10-20,0-35,120,0.5,0.75,5.96969696969697,5.587289417087952,1.9705882352941175,1.144592213136587,9.529411764705882,13.205669459832508,3.5,0.4971574528052643,12.5,21.047565179849187,34.0,0.7687674942449196,34.666666666666664,26.0,34.5,CCC2014B
group3,F,South East Region,A Level or Equivalent,40-50%,0-35,90,0.5,1.0,2.606060606060606,2.2169025174327417,3.02,0.7579527339002703,3.4027777777777777,3.1384024025071415,5.863013698630137,0.750294727661196,5.0638297872340425,5.565437813627451,84.02083333333333,1.3057943003254473,91.66666666666669,89.0,91.66666666666669,CCC2014B
group1,M,Yorkshire Region,A Level or Equivalent,60-70%,0-35,60,0.5,1.0,6.205128205128205,5.454015841462177,3.675,0.7942304329703113,9.375,9.527135159523354,9.08,1.2929796843442654,7.862068965517241,7.567430862070479,21.1,1.141340733716346,68.0,54.0,57.333333333333336,CCC2014B
