score,gender,region,highest_education,imd_band,age_band,studied_credits,date_registration,late_ratio,completion_ratio,navigation_mean_click_interval,navigation_std_click_interval,navigation_mean_clicks,navigation_click_variance,input_mean_click_interval,input_std_click_interval,input_mean_clicks,input_click_variance,output_mean_click_interval,output_std_click_interval,output_mean_clicks,output_click_variance,early_score,late_score,mid_score,module_presentation
group1,F,North Western Region,A Level or Equivalent,10-20,0-35,0.24,0.6573816155988857,0.75,1.0,0.02748988877654196,0.05118725128538731,0.08707909112340617,0.06866324082028424,0.0993013778381525,0.21402690519094408,0.2161434977578475,0.45620484896890284,0.010510628284571338,0.016102763886397052,0.10257565179529912,0.2455033403304426,0.4153225806451613,0.275,0.11956521739130435,CCC_2014B
group3,M,East Midlands Region,Lower Than A Level,60-70%,0-35,0.0,0.8022284122562674,0.5,1.0,0.20406070549630845,0.2382528327454372,0.1802363730118389,0.05070160616477435,0.09505893841983684,0.26343133675112657,0.15899663677130044,0.12933206806037292,0.08253588516746412,0.09112039369860934,0.20502308402585412,0.29908672432044203,0.35887096774193544,0.665,0.5652173913043479,CCC_2014B
group1,M,South East Region,HE Qualification,90-100%,35-55,0.12,0.8022284122562674,0.5,1.0,0.024289531212047605,0.046478419023788,0.10470544289749106,0.06169434887938657,0.047222838291148,0.12014178826397882,0.029509873338053653,0.17625379876103672,0.006536828627265989,0.008127662802247557,0.2153874134483553,0.4592131521256938,0.5806451612903225,0.55,0.6413043478260869,CCC_2014B
group3,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0.12,0.7855153203342617,0.875,1.0,0.07844544708777686,0.1617412925938006,0.11919627427302068,0.062462249710560976,0.05870937546375039,0.15899496545732822,0.06736805795101758,0.22151738555396175,0.02841369157158631,0.04559652318110085,0.2904436796403555,0.44797095730637015,0.919354838709677,0.885,0.9347826086956521,CCC_2014B
group3,M,London Region,A Level or Equivalent,30-40%,0-35,0.24,0.7353760445682451,0.6666666666666666,0.75,0.06456707543664067,0.06333039545131082,0.0536652303350053,0.054686455397713475,0.10068274438544181,0.16726427439635294,0.019625428646795035,0.14365628819485124,0.027258228215166012,0.02217980296949359,0.09793828640729871,0.4049247709357314,0.8971774193548387,0.755,0.7391304347826086,CCC_2014B
group3,M,Scotland,Post Graduate Qualification,80-90%,35-55,0.12,0.7827298050139275,0.5,1.0,0.2690217391304348,0.32835728698399447,0.08083561489054625,0.04169361917630841,0.07902790010300197,0.16265809278311447,0.07471973094170403,0.18061792511803204,0.10313662945241896,0.12184123429977414,0.1917027101456319,0.17590524550222644,0.6693548387096775,0.7000000000000001,0.7644927536231882,CCC_2014B
group1,M,South Region,HE Qualification,40-50%,35-55,0.12,0.5208913649025069,0.75,1.0,0.1324249846907532,0.15432076372618467,0.09079185050800592,0.07478398451031451,0.06314768096254607,0.14734137348028808,0.18404172353285242,0.23603364784781575,0.05582137161084529,0.0764410570419696,0.34430941530396453,0.26193200958828156,0.7661290322580645,0.65,0.7318840579710144,CCC_2014B
group1,F,South Region,A Level or Equivalent,10-20,0-35,0.36,0.6434540389972144,1.0,0.5,0.16559103260869568,0.1538553214434319,0.037487558622689064,0.051493854093618445,0.19571123617310301,0.2895698870366393,0.09730941704035874,0.2672064443054449,0.09728867623604465,0.13180156571369045,0.2411106251316195,0.20867077798799386,0.7338709677419355,0.61,0.8695652173913044,CCC_2014B
group1,M,East Midlands Region,HE Qualification,90-100%,35-55,0.12,0.8022284122562674,0.8333333333333334,0.75,0.31211180124223603,0.2910295889307132,0.08674292150577481,0.039948674187931084,0.12140324259478148,0.2159975999889381,0.019341002144667573,0.1238362704395689,0.12950558213716107,0.10671517776274148,0.1719086642043706,0.18926295787814912,0.5806451612903225,0.405,0.6413043478260869,CCC_2014B
group1,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0.12,0.6267409470752089,0.7142857142857143,0.875,0.2197039777983349,0.2977062741143376,0.04404512475497387,0.07308389467967652,0.19894750059930819,0.39125867674389847,0.021624314897857495,0.10892069463767769,0.09994683678894206,0.108905146319532,0.14723558665824305,0.30346240299629607,0.5564516129032258,0.51,0.5923913043478262,CCC_2014B
